titular_canonico,titular_norm,tipo_actor,n_registros,superficie_ha,ejemplo_original
COMUNIDAD TOBANTIRENDA,COMUNIDAD TOBANTIRENDA,comunidad,3,0.5189999999999999,COMUNIDAD TOBANTIRENDA
COOPERATIVA LA MESA REDONDA LTDA,COOPERATIVA LA MESA REDONDA LTDA,cooperativa,18,291.4002,COOPERATIVA LA MESA REDONDA LTDA.
COOPERATIVA DE TRABAJO MINACLAR LTDA,COOPERATIVA DE TRABAJO MINACLAR LTDA,cooperativa,6,227.13899999999998,COOPERATIVA DE TRABAJO MINACLAR LTDA.
LITHIUM S CORP SA,LITHIUM S CORP SA,empresa,675,357940.575,LITHIUM S CORPORATION S.A.
RINCON MINING LTD,RINCON MINING LTD,empresa,354,249009.6123,RINCON MINING LIMITED
CORRIENTE ARGENTINA SA,CORRIENTE ARGENTINA SA,empresa,252,333729.6861,CORRIENTE ARGENTINA S.A.
ERAMINE SUDAMERICA SA,ERAMINE SUDAMERICA SA,empresa,234,318307.1092,ERAMINE SUDAMERICA S.A.
NOA LITHIUM BRINES SA,NOA LITHIUM BRINES SA,empresa,150,351696.0463,NOA LITHIUM BRINES S.A.
HUMBOLDT MINERALS LTD SEE,HUMBOLDT MINERALS LTD SEE,empresa,141,334069.8289,HUMBOLDT MINERALS LTD.SEE.
BORAX ARGENTINA SA,BORAX ARGENTINA SA,empresa,129,27490.2708,BORAX ARGENTINA S.A.
CARDERO ARGENTINA SA,CARDERO ARGENTINA SA,empresa,124,104020.1985,CARDERO ARGENTINA S.A.
POTASIO Y LITIO DE ARGENTINA SA,POTASIO Y LITIO DE ARGENTINA SA,empresa,123,31197.5868,POTASIO Y LITIO DE ARGENTINA S.A.
SILEX ARGENTINA SA,SILEX ARGENTINA SA,empresa,93,170209.8522,SILEX ARGENTINA S.A.
HANAQ ARGENTINA SA,HANAQ ARGENTINA SA,empresa,86,161034.3831,HANAQ ARGENTINA S.A.
IMERYS MINERALES ARGENTINA SA,IMERYS MINERALES ARGENTINA SA,empresa,84,4155.8667000000005,IMERYS MINERALES ARGENTINA S.A.
LITHEA ARGENTINA SAU,LITHEA ARGENTINA SAU,empresa,84,77996.292,LITHEA ARGENTINA S.A.U.
ALPHA LITHIUM ARGENTINA SA,ALPHA LITHIUM ARGENTINA SA,empresa,80,137285.4809,ALPHA LITHIUM ARGENTINA S.A.
POSCO ARGENTINA SAU,POSCO ARGENTINA SAU,empresa,78,50132.3091,POSCO ARGENTINA S.A.U.
LITIO MINERA ARGENTINA SA,LITIO MINERA ARGENTINA SA,empresa,76,105034.9,LITIO MINERA ARGENTINA S.A.
ARGENTINA LITIO Y ENERGIA SA,ARGENTINA LITIO Y ENERGIA SA,empresa,75,101420.1099,ARGENTINA LITIO Y ENERGIA S.A.
PUNA MINING SA,PUNA MINING SA,empresa,74,18691.5226,PUNA MINING S.A.
MINERA ANSOTANA SA,MINERA ANSOTANA SA,empresa,64,142707.9483,MINERA ANSOTANA S.A.
PROYECTO PASTOS GRANDES SA,PROYECTO PASTOS GRANDES SA,empresa,64,59282.8711,PROYECTO PASTOS GRANDES S.A.
ANDES LITHIUM SA,ANDES LITHIUM SA,empresa,58,105745.3798,ANDES LITHIUM S.A.
SERVICIOS Y EXPLOTACIONES MINERAS CRUZ SRL,SERVICIOS Y EXPLOTACIONES MINERAS CRUZ SRL,empresa,58,29308.960199999998,SERVICIOS Y EXPLOTACIONES MINERAS CRUZ S.R.L.
GANFENG LITIO ARGENTINA SA,GANFENG LITIO ARGENTINA SA,empresa,53,118803.809,GANFENG LITIO ARGENTINA S.A.
BRINE LITHIUM RESOURCES SA,BRINE LITHIUM RESOURCES SA,empresa,52,68722.5639,BRINE LITHIUM RESOURCES S.A.
